Date,P30:credit/compress,P30:credit/mild,P30:credit/severe,P30:interest_rate/bear_steepen,P30:interest_rate/bull_flatten,P30:liquidity/stress,P90:credit/compress,P90:credit/mild,P90:credit/severe,P90:interest_rate/bear_steepen,P90:interest_rate/bull_flatten,P90:liquidity/stress
2005-12-08,0.079484,0.151427,0.027411,0.035306,0.104244,0.040836,0.220000,0.388962,0.080000,0.102224,0.281264,0.117574
2005-12-09,0.079484,0.131203,0.027411,0.035997,0.101851,0.041911,0.220000,0.344225,0.080000,0.104150,0.275489,0.120538
2005-12-13,0.079484,0.130876,0.027411,0.036209,0.101138,0.042243,0.220000,0.343483,0.080000,0.104742,0.273762,0.121451
2005-12-14,0.079484,0.138177,0.027411,0.034599,0.106813,0.039743,0.220000,0.359890,0.080000,0.100248,0.287431,0.114554
2005-12-15,0.079484,0.135444,0.027411,0.035852,0.102345,0.041685,0.220000,0.353782,0.080000,0.103746,0.276682,0.119914
2005-12-16,0.079484,0.136531,0.027411,0.034820,0.105996,0.040084,0.220000,0.356217,0.080000,0.100866,0.285474,0.115497
2005-12-19,0.079484,0.137630,0.027411,0.034379,0.107638,0.039405,0.220000,0.358670,0.080000,0.099633,0.289402,0.113618
2005-12-20,0.079484,0.135752,0.027411,0.033357,0.111645,0.037842,0.220000,0.354471,0.080000,0.096769,0.298933,0.109285
2005-12-21,0.079484,0.136631,0.027411,0.033993,0.109119,0.038812,0.220000,0.356440,0.080000,0.098551,0.292935,0.111976
2005-12-22,0.079484,0.142585,0.027411,0.032989,0.113161,0.037284,0.220000,0.369661,0.080000,0.095738,0.302515,0.107734
2005-12-27,0.079484,0.151058,0.027411,0.030525,0.124467,0.033605,0.220000,0.388166,0.080000,0.088808,0.328853,0.097465
2005-12-28,0.079484,0.144648,0.027411,0.031655,0.119015,0.035280,0.220000,0.374201,0.080000,0.091991,0.316237,0.102149
2005-12-29,0.079484,0.149839,0.027411,0.030720,0.123490,0.033893,0.220000,0.385526,0.080000,0.089358,0.326604,0.098271
2005-12-30,0.079484,0.137928,0.027411,0.030312,0.125553,0.033291,0.220000,0.359336,0.080000,0.088206,0.331347,0.096585
2006-01-03,0.079484,0.105509,0.027411,0.033088,0.112749,0.037434,0.220000,0.284305,0.080000,0.096015,0.301542,0.108151
2006-01-04,0.079484,0.101368,0.027411,0.034370,0.107672,0.039391,0.220000,0.274319,0.080000,0.099608,0.289484,0.113579
2006-01-05,0.079484,0.096531,0.027411,0.033901,0.109475,0.038672,0.220000,0.262537,0.080000,0.098295,0.293782,0.111588
2006-01-06,0.081050,0.089492,0.027411,0.032872,0.113652,0.037107,0.223974,0.245165,0.080000,0.095409,0.303675,0.107241
2006-01-09,0.084612,0.085368,0.027411,0.032983,0.113183,0.037276,0.232963,0.234863,0.080000,0.095722,0.302569,0.107711
2006-01-10,0.085433,0.084473,0.027411,0.033071,0.112818,0.037409,0.235026,0.232616,0.080000,0.095968,0.301707,0.108080
2006-01-11,0.087724,0.082078,0.027411,0.033185,0.112349,0.037581,0.240761,0.226577,0.080000,0.096287,0.300598,0.108559
2006-01-12,0.083612,0.086484,0.027411,0.033871,0.109595,0.038626,0.230448,0.237661,0.080000,0.098209,0.294068,0.111458
2006-01-13,0.079484,0.098215,0.027411,0.033379,0.111555,0.037876,0.220000,0.266655,0.080000,0.096831,0.298720,0.109379
2006-01-17,0.079484,0.104399,0.027411,0.032873,0.113645,0.037109,0.220000,0.281637,0.080000,0.095413,0.303657,0.107248
2006-01-18,0.079484,0.094561,0.027411,0.033013,0.113058,0.037321,0.220000,0.257703,0.080000,0.095807,0.302273,0.107838
2006-01-19,0.081261,0.089235,0.027411,0.033147,0.112506,0.037523,0.224509,0.244528,0.080000,0.096180,0.300968,0.108399
2006-01-20,0.080132,0.090623,0.027411,0.032693,0.114409,0.036837,0.221646,0.247975,0.080000,0.094908,0.305456,0.106490
2006-01-23,0.081042,0.089501,0.027411,0.033433,0.111336,0.037958,0.223954,0.245189,0.080000,0.096983,0.298201,0.109607
2006-01-24,0.084780,0.085183,0.027411,0.034829,0.105965,0.040097,0.233387,0.234398,0.080000,0.100890,0.285399,0.115533
2006-01-25,0.096822,0.073833,0.027411,0.034983,0.105403,0.040336,0.263249,0.205547,0.080000,0.101321,0.284051,0.116191
2006-01-26,0.103397,0.068887,0.027411,0.035796,0.102536,0.041598,0.279223,0.192753,0.080000,0.103590,0.277145,0.119674
2006-01-27,0.105460,0.067478,0.027411,0.034019,0.109019,0.038852,0.284188,0.189081,0.080000,0.098623,0.292697,0.112085
2006-01-30,0.111439,0.063724,0.027411,0.034800,0.106070,0.040053,0.298445,0.179249,0.080000,0.100810,0.285651,0.115411
2006-02-01,0.111171,0.063883,0.027411,0.032642,0.114627,0.036760,0.297810,0.179666,0.080000,0.094764,0.305969,0.106276
2006-02-02,0.116856,0.060693,0.027411,0.032810,0.113911,0.037014,0.311198,0.171252,0.080000,0.095236,0.304284,0.106983
2006-02-03,0.114234,0.062120,0.027411,0.031201,0.121148,0.034604,0.305045,0.175023,0.080000,0.090712,0.321192,0.100261
2006-02-06,0.114715,0.061853,0.027411,0.030212,0.126065,0.033145,0.306177,0.174317,0.080000,0.087926,0.332520,0.096176
2006-02-07,0.109019,0.065188,0.027411,0.032082,0.117078,0.035918,0.292697,0.183093,0.080000,0.093190,0.311718,0.103929
2006-02-08,0.110577,0.064238,0.027411,0.029936,0.127509,0.032741,0.296401,0.180599,0.080000,0.087147,0.335824,0.095042
2006-02-09,0.116585,0.060837,0.027411,0.027941,0.139017,0.029858,0.310564,0.171633,0.080000,0.081504,0.361759,0.086925
2006-02-10,0.120520,0.058814,0.027411,0.029153,0.131796,0.031600,0.319736,0.166269,0.080000,0.084933,0.345567,0.091836
2006-02-13,0.119043,0.059556,0.027411,0.029319,0.130863,0.031841,0.316302,0.168239,0.080000,0.085403,0.343454,0.092514
2006-02-15,0.126628,0.055950,0.027411,0.029635,0.129126,0.032300,0.333812,0.158635,0.080000,0.086295,0.339510,0.093805
2006-02-16,0.138247,0.051273,0.027411,0.029781,0.128337,0.032514,0.360046,0.146068,0.080000,0.086708,0.337714,0.094404
2006-02-17,0.138100,0.051327,0.027411,0.028820,0.133702,0.031119,0.359718,0.146214,0.080000,0.083992,0.349868,0.090482
2006-02-21,0.142005,0.049941,0.027411,0.027884,0.139378,0.029776,0.368382,0.142466,0.080000,0.081341,0.362562,0.086694
2006-02-22,0.140503,0.050464,0.027411,0.027561,0.141447,0.029316,0.365060,0.143881,0.080000,0.080426,0.367150,0.085396
2006-02-23,0.156308,0.045514,0.027411,0.027217,0.143724,0.028828,0.399447,0.130423,0.080000,0.079449,0.372170,0.084016
2006-02-24,0.148385,0.047850,0.027411,0.027322,0.143019,0.028978,0.382367,0.136791,0.080000,0.079748,0.370618,0.084438
2006-02-27,0.158608,0.044885,0.027411,0.027985,0.138742,0.029920,0.404345,0.128701,0.080000,0.081628,0.361148,0.087102
2006-02-28,0.123761,0.057256,0.027411,0.028634,0.134795,0.030850,0.327227,0.162120,0.080000,0.083465,0.352326,0.089725
2006-03-01,0.145936,0.048629,0.027411,0.029892,0.127746,0.032676,0.377025,0.138907,0.080000,0.087021,0.336365,0.094859
2006-03-02,0.158101,0.045022,0.027411,0.032407,0.115644,0.036406,0.403267,0.129076,0.080000,0.094103,0.308358,0.105289
2006-03-03,0.165115,0.043207,0.027411,0.032500,0.115240,0.036545,0.418058,0.124102,0.080000,0.094364,0.307411,0.105679
2006-03-06,0.172111,0.041559,0.027411,0.035962,0.101969,0.041857,0.432566,0.119569,0.080000,0.104053,0.275775,0.120388
2006-03-07,0.155934,0.045619,0.027411,0.036047,0.101683,0.041989,0.398648,0.130708,0.080000,0.104289,0.275083,0.120752
2006-03-08,0.154727,0.045960,0.027411,0.039133,0.092231,0.046888,0.396063,0.131639,0.080000,0.112865,0.251957,0.134171
2006-03-09,0.153459,0.046324,0.027411,0.040028,0.089809,0.048335,0.393341,0.132633,0.080000,0.115341,0.245955,0.138110
2006-03-10,0.157397,0.045214,0.027411,0.040117,0.089575,0.048480,0.401768,0.129601,0.080000,0.115588,0.245372,0.138503
2006-03-13,0.163406,0.043634,0.027411,0.041064,0.087158,0.050027,0.414477,0.125272,0.080000,0.118203,0.239347,0.142698
2006-03-14,0.150480,0.047206,0.027411,0.042921,0.082780,0.053097,0.386915,0.135038,0.080000,0.123315,0.228349,0.150984
2006-03-15,0.169286,0.042207,0.027411,0.042129,0.084592,0.051782,0.426736,0.121351,0.080000,0.121138,0.232913,0.147440
2006-03-16,0.150133,0.047312,0.027411,0.041353,0.086447,0.050501,0.386163,0.135325,0.080000,0.119000,0.237567,0.143981
2006-03-17,0.155061,0.045865,0.027411,0.041460,0.086186,0.050678,0.396780,0.131380,0.080000,0.119296,0.236913,0.144458
2006-03-20,0.156306,0.045515,0.027411,0.039808,0.090392,0.047978,0.399443,0.130425,0.080000,0.114733,0.247403,0.137140
2006-03-22,0.174302,0.041073,0.027411,0.035848,0.102358,0.041679,0.437058,0.118228,0.080000,0.103735,0.276716,0.119897
2006-03-23,0.177545,0.040378,0.027411,0.035908,0.102153,0.041773,0.443666,0.116309,0.080000,0.103903,0.276219,0.120156
2006-03-24,0.166454,0.042880,0.027411,0.035151,0.104798,0.040595,0.420853,0.123203,0.080000,0.101789,0.282598,0.116909
2006-03-27,0.173828,0.041177,0.027411,0.037661,0.096510,0.044533,0.436089,0.118515,0.080000,0.108782,0.262488,0.127738
2006-03-28,0.187799,0.038353,0.027411,0.037733,0.096291,0.044648,0.464215,0.110704,0.080000,0.108983,0.261951,0.128052
2006-03-29,0.181869,0.039494,0.027411,0.038697,0.093458,0.046187,0.452394,0.113863,0.080000,0.111658,0.254987,0.132260
2006-03-30,0.186908,0.038520,0.027411,0.041556,0.085954,0.050835,0.462450,0.111165,0.080000,0.119559,0.236333,0.144884
2006-03-31,0.161207,0.044197,0.027411,0.043611,0.081261,0.054253,0.409847,0.126817,0.080000,0.125211,0.224510,0.154087
2006-04-03,0.167390,0.042655,0.027411,0.041622,0.085794,0.050945,0.422802,0.122584,0.080000,0.119742,0.235932,0.145180
2006-04-04,0.173989,0.041142,0.027411,0.042703,0.083271,0.052734,0.436417,0.118418,0.080000,0.122716,0.229588,0.150006
2006-04-05,0.166855,0.042783,0.027411,0.042761,0.083138,0.052832,0.421688,0.122937,0.080000,0.122877,0.229254,0.150269
2006-04-06,0.158027,0.045042,0.027411,0.046184,0.076061,0.058618,0.403110,0.129131,0.080000,0.132253,0.211268,0.165748
2006-04-07,0.177955,0.040292,0.027411,0.048722,0.071546,0.063018,0.444496,0.116072,0.080000,0.139161,0.199648,0.177391
2006-04-10,0.168589,0.042370,0.027411,0.048854,0.071327,0.063249,0.425293,0.121801,0.080000,0.139518,0.199080,0.177998
2006-04-11,0.165421,0.043132,0.027411,0.045276,0.077819,0.057066,0.418697,0.123895,0.080000,0.129771,0.215762,0.161614
2006-04-12,0.173608,0.041226,0.027411,0.047858,0.073023,0.061509,0.435636,0.118649,0.080000,0.136811,0.203461,0.173409
2006-04-13,0.174216,0.041092,0.027411,0.050642,0.068472,0.066408,0.436881,0.118281,0.080000,0.144363,0.191671,0.186287
2006-04-17,0.167387,0.042656,0.027411,0.052205,0.066159,0.069205,0.422796,0.122586,0.080000,0.148580,0.185635,0.193578
2006-04-18,0.151737,0.046829,0.027411,0.060185,0.056436,0.084025,0.389632,0.134011,0.080000,0.169907,0.159932,0.231487
2006-04-19,0.167472,0.042635,0.027411,0.065484,0.051432,0.094353,0.422972,0.122530,0.080000,0.183869,0.146497,0.257190
2006-04-20,0.172208,0.041538,0.027411,0.060427,0.056186,0.084487,0.432764,0.119509,0.080000,0.170547,0.159266,0.232650
2006-04-21,0.171085,0.041792,0.027411,0.054131,0.063515,0.072700,0.430451,0.120209,0.080000,0.153760,0.178699,0.202629
2006-04-24,0.166213,0.042939,0.027411,0.052782,0.065343,0.070248,0.420351,0.123364,0.080000,0.150136,0.183498,0.196287
2006-04-25,0.192692,0.037471,0.027411,0.056137,0.060978,0.076397,0.473840,0.108253,0.080000,0.159135,0.172006,0.212128
2006-04-26,0.193514,0.037327,0.027411,0.058041,0.058753,0.079956,0.475446,0.107854,0.080000,0.164213,0.166106,0.221202
2006-04-27,0.185538,0.038779,0.027411,0.067745,0.049562,0.098877,0.459728,0.111883,0.080000,0.189778,0.141438,0.268269
